,,0
property_value,loan_amount,0.7460591600147752
interest_rate_spread,rate_of_interest,0.5826400352475068
income,loan_amount,0.4625915127067852
income,property_value,0.4248277576032177
term,rate_of_interest,0.25663634760053633
ltv,term,0.23133462379849845
term,loan_amount,0.18791549597528562
dtir1,ltv,0.17628810899743563
ltv,interest_rate_spread,0.14658642567215943
dtir1,term,0.12115932003232298
ltv,rate_of_interest,0.10945681981548368
ltv,loan_amount,0.08165206865919906
dtir1,interest_rate_spread,0.08001644595731339
upfront_charges,loan_amount,0.0705100068443377
dtir1,rate_of_interest,0.05901420493900568
property_value,term,0.04932567246950852
property_value,upfront_charges,0.03736141601213994
upfront_charges,interest_rate_spread,0.026505278266493352
dtir1,loan_amount,0.0203387264072627
income,upfront_charges,0.015861674022337954
credit_score,loan_amount,0.004513122304235531
credit_score,property_value,0.00282748630784188
credit_score,income,0.0005377390063262951
dtir1,upfront_charges,5.25851844525456e-05
dtir1,credit_score,-0.0007153769698594363
credit_score,upfront_charges,-0.00127831518493572
credit_score,rate_of_interest,-0.0029532152501509823
credit_score,term,-0.0033871729149661934
credit_score,interest_rate_spread,-0.004644221804079164
ltv,credit_score,-0.004786184641862735
ltv,upfront_charges,-0.019521131693771964
term,upfront_charges,-0.03902935628723783
income,rate_of_interest,-0.055854829922644705
ltv,income,-0.060479132807588515
income,term,-0.061265480240753595
dtir1,property_value,-0.06220366529654251
upfront_charges,rate_of_interest,-0.12221277575943072
rate_of_interest,loan_amount,-0.13623604773578876
term,interest_rate_spread,-0.15000330958585933
income,interest_rate_spread,-0.15885888240633644
property_value,rate_of_interest,-0.17937030503189336
dtir1,income,-0.3052660798880393
property_value,interest_rate_spread,-0.3891931722100711
interest_rate_spread,loan_amount,-0.39621771515554777
ltv,property_value,-0.44496148907571464
